CEP;COD_SETOR;COD_UF;COD_MUNICIPIO;NOM_TIPO_SEGLOGR;NOM_TITULO_SEGLOGR;NOM_SEGLOGR
13506600;354390705000139P;35;3543907;AVENIDA;;QUARENTA E SEIS A
13500340;354390705000003P;35;3543907;AVENIDA;;TREZE
13506566;354390705000139P;35;3543907;RUA;;3 A
13501630;354390705000297P;35;3543907;RUA;;DEZESSETE I
13504300;354390705000103P;35;3543907;RUA;;VINTE E DOIS
13506600;354390705000139P;35;3543907;AVENIDA;;QUARENTA E SEIS A
13500505;354390705000006P;35;3543907;AVENIDA;VISCONDE;DE RIO CLARO
13505550;354390705000471P;35;3543907;AVENIDA;;UM JP DOIS
13505550;354390705000471P;35;3543907;AVENIDA;;UM JP DOIS
13505550;354390705000471P;35;3543907;AVENIDA;;UM JP DOIS
13504300;354390705000103P;35;3543907;RUA;;VINTE E DOIS
13500340;354390705000003P;35;3543907;AVENIDA;;TREZE
13502744;354390705000208P;35;3543907;RUA;;QUATRO
13505550;354390705000471P;35;3543907;AVENIDA;;UM JP DOIS
13502744;354390705000208P;35;3543907;RUA;;QUATRO
13502744;354390705000208P;35;3543907;RUA;;QUATRO
13500505;354390705000006P;35;3543907;AVENIDA;VISCONDE;DE RIO CLARO
13504300;354390705000103P;35;3543907;RUA;;VINTE E DOIS
13502744;354390705000208P;35;3543907;RUA;;QUATRO
13506566;354390705000139P;35;3543907;RUA;;3 A
13500340;354390705000003P;35;3543907;AVENIDA;;TREZE
13506600;354390705000139P;35;3543907;AVENIDA;;QUARENTA E SEIS A
13500143;354390705000002P;35;3543907;RUA;;SETE
13504380;354390705000103P;35;3543907;AVENIDA;;QUARENTA E OITO
13505550;354390705000471P;35;3543907;AVENIDA;;UM JP DOIS
13505550;354390705000471P;35;3543907;AVENIDA;;UM JP DOIS
13500143;354390705000002P;35;3543907;RUA;;SETE
13504300;354390705000103P;35;3543907;RUA;;VINTE E DOIS
13502744;354390705000208P;35;3543907;RUA;;QUATRO
13500340;354390705000003P;35;3543907;AVENIDA;;TREZE
13500143;354390705000002P;35;3543907;RUA;;SETE
13505550;354390705000471P;35;3543907;AVENIDA;;UM JP DOIS
13500143;354390705000002P;35;3543907;RUA;;SETE
13500340;354390705000003P;35;3543907;AVENIDA;;TREZE
13505550;354390705000471P;35;3543907;AVENIDA;;UM JP DOIS
13504300;354390705000103P;35;3543907;RUA;;VINTE E DOIS
13505550;354390705000471P;35;3543907;AVENIDA;;UM JP DOIS
13505550;354390705000471P;35;3543907;AVENIDA;;UM JP DOIS
13506566;354390705000139P;35;3543907;RUA;;3 A
13502744;354390705000208P;35;3543907;RUA;;QUATRO
13505550;354390705000471P;35;3543907;AVENIDA;;UM JP DOIS
13505550;354390705000471P;35;3543907;AVENIDA;;UM JP DOIS
13502744;354390705000208P;35;3543907;RUA;;QUATRO
13502744;354390705000208P;35;3543907;RUA;;QUATRO
13506566;354390705000139P;35;3543907;RUA;;3 A
13504300;354390705000103P;35;3543907;RUA;;VINTE E DOIS
13504300;354390705000103P;35;3543907;RUA;;VINTE E DOIS
13502744;354390705000208P;35;3543907;RUA;;QUATRO
13502744;354390705000208P;35;3543907;RUA;;QUATRO
13500143;354390705000002P;35;3543907;RUA;;SETE
13502744;354390705000208P;35;3543907;RUA;;QUATRO
13506600;354390705000139P;35;3543907;AVENIDA;;QUARENTA E SEIS A
13506600;354390705000139P;35;3543907;AVENIDA;;QUARENTA E SEIS A
13506566;354390705000139P;35;3543907;RUA;;3 A
13500505;354390705000006P;35;3543907;AVENIDA;VISCONDE;DE RIO CLARO
13500340;354390705000003P;35;3543907;AVENIDA;;TREZE
13506600;354390705000139P;35;3543907;AVENIDA;;QUARENTA E SEIS A
13502744;354390705000208P;35;3543907;RUA;;QUATRO
13502744;354390705000208P;35;3543907;RUA;;QUATRO
13502744;354390705000208P;35;3543907;RUA;;QUATRO
13506600;354390705000139P;35;3543907;AVENIDA;;QUARENTA E SEIS A
13506566;354390705000139P;35;3543907;RUA;;3 A
13504300;354390705000103P;35;3543907;RUA;;VINTE E DOIS
13502744;354390705000208P;35;3543907;RUA;;QUATRO
13506600;354390705000139P;35;3543907;AVENIDA;;QUARENTA E SEIS A
13500340;354390705000003P;35;3543907;AVENIDA;;TREZE
13505550;354390705000471P;35;3543907;AVENIDA;;UM JP DOIS
13505550;354390705000471P;35;3543907;AVENIDA;;UM JP DOIS
13502744;354390705000208P;35;3543907;RUA;;QUATRO
13506566;354390705000139P;35;3543907;RUA;;3 A
13500143;354390705000002P;35;3543907;RUA;;SETE
13502744;354390705000208P;35;3543907;RUA;;QUATRO
13502744;354390705000208P;35;3543907;RUA;;QUATRO
13502744;354390705000208P;35;3543907;RUA;;QUATRO
13500340;354390705000003P;35;3543907;AVENIDA;;TREZE
13505550;354390705000471P;35;3543907;AVENIDA;;UM JP DOIS
13505550;354390705000471P;35;3543907;AVENIDA;;UM JP DOIS
13502744;354390705000208P;35;3543907;RUA;;QUATRO
