cd_setor;cep;cod_uf;sigla_uf;nm_uf;cod_municipio;nm_municipio;area_km2;cep_inicial_setor;cep_final_setor;faixa_cep_setor;qtd_ceps_no_setor;qtd_setores_no_cep;qtd_enderecos_setor_cep;qtd_logradouros_distintos_setor_cep;total_enderecos_no_setor;total_enderecos_no_cep;pct_enderecos_do_setor_no_cep;pct_enderecos_do_cep_no_setor;tem_renda;renda_v06001;renda_v06002;renda_v06003;renda_v06004;renda_v06005
354390705000002;13500144;35;SP;São Paulo;3543907;Rio Claro;0.126131547939069;13500040;13500380;13500040 - 13500380;11;1;86;1;476;86;0.18067227;1.0;1;188.0;403.0;1.3;5350.85;39351392.7
354390705000002;13500360;35;SP;São Paulo;3543907;Rio Claro;0.126131547939069;13500040;13500380;13500040 - 13500380;11;3;80;1;476;141;0.16806723;0.56737589;1;188.0;403.0;1.3;5350.85;39351392.7
354390705000002;13500050;35;SP;São Paulo;3543907;Rio Claro;0.126131547939069;13500040;13500380;13500040 - 13500380;11;1;67;1;476;67;0.1407563;1.0;1;188.0;403.0;1.3;5350.85;39351392.7
354390705000002;13500350;35;SP;São Paulo;3543907;Rio Claro;0.126131547939069;13500040;13500380;13500040 - 13500380;11;3;57;1;476;130;0.1197479;0.43846154;1;188.0;403.0;1.3;5350.85;39351392.7
354390705000002;13500090;35;SP;São Paulo;3543907;Rio Claro;0.126131547939069;13500040;13500380;13500040 - 13500380;11;3;36;1;476;73;0.07563025;0.49315068;1;188.0;403.0;1.3;5350.85;39351392.7
354390705000002;13500145;35;SP;São Paulo;3543907;Rio Claro;0.126131547939069;13500040;13500380;13500040 - 13500380;11;1;35;1;476;35;0.07352941;1.0;1;188.0;403.0;1.3;5350.85;39351392.7
354390705000002;13500143;35;SP;São Paulo;3543907;Rio Claro;0.126131547939069;13500040;13500380;13500040 - 13500380;11;1;29;1;476;29;0.06092437;1.0;1;188.0;403.0;1.3;5350.85;39351392.7
354390705000002;13500370;35;SP;São Paulo;3543907;Rio Claro;0.126131547939069;13500040;13500380;13500040 - 13500380;11;4;29;1;476;136;0.06092437;0.21323529;1;188.0;403.0;1.3;5350.85;39351392.7
354390705000002;13500040;35;SP;São Paulo;3543907;Rio Claro;0.126131547939069;13500040;13500380;13500040 - 13500380;11;1;24;1;476;24;0.05042017;1.0;1;188.0;403.0;1.3;5350.85;39351392.7
354390705000002;13500100;35;SP;São Paulo;3543907;Rio Claro;0.126131547939069;13500040;13500380;13500040 - 13500380;11;3;24;1;476;178;0.05042017;0.13483146;1;188.0;403.0;1.3;5350.85;39351392.7
354390705000002;13500380;35;SP;São Paulo;3543907;Rio Claro;0.126131547939069;13500040;13500380;13500040 - 13500380;11;3;9;1;476;109;0.01890756;0.08256881;1;188.0;403.0;1.3;5350.85;39351392.7
354390705000003;13500100;35;SP;São Paulo;3543907;Rio Claro;0.100010252114546;13500090;13500370;13500090 - 13500370;9;3;108;1;427;178;0.2529274;0.60674157;1;267.0;619.0;1.29;5072.59;26521281.63
354390705000003;13500110;35;SP;São Paulo;3543907;Rio Claro;0.100010252114546;13500090;13500370;13500090 - 13500370;9;2;68;1;427;119;0.15925059;0.57142857;1;267.0;619.0;1.29;5072.59;26521281.63
354390705000003;13500340;35;SP;São Paulo;3543907;Rio Claro;0.100010252114546;13500090;13500370;13500090 - 13500370;9;2;59;1;427;80;0.1381733;0.7375;1;267.0;619.0;1.29;5072.59;26521281.63
354390705000003;13500350;35;SP;São Paulo;3543907;Rio Claro;0.100010252114546;13500090;13500370;13500090 - 13500370;9;3;50;1;427;130;0.11709602;0.38461538;1;267.0;619.0;1.29;5072.59;26521281.63
354390705000003;13500360;35;SP;São Paulo;3543907;Rio Claro;0.100010252114546;13500090;13500370;13500090 - 13500370;9;3;37;1;427;141;0.08665105;0.26241135;1;267.0;619.0;1.29;5072.59;26521281.63
354390705000003;13500120;35;SP;São Paulo;3543907;Rio Claro;0.100010252114546;13500090;13500370;13500090 - 13500370;9;2;30;1;427;68;0.07025761;0.44117647;1;267.0;619.0;1.29;5072.59;26521281.63
354390705000003;13500330;35;SP;São Paulo;3543907;Rio Claro;0.100010252114546;13500090;13500370;13500090 - 13500370;9;2;28;1;427;64;0.06557377;0.4375;1;267.0;619.0;1.29;5072.59;26521281.63
354390705000003;13500370;35;SP;São Paulo;3543907;Rio Claro;0.100010252114546;13500090;13500370;13500090 - 13500370;9;4;27;1;427;136;0.06323185;0.19852941;1;267.0;619.0;1.29;5072.59;26521281.63
354390705000003;13500090;35;SP;São Paulo;3543907;Rio Claro;0.100010252114546;13500090;13500370;13500090 - 13500370;9;3;20;1;427;73;0.04683841;0.2739726;1;267.0;619.0;1.29;5072.59;26521281.63
354390705000004;13500392;35;SP;São Paulo;3543907;Rio Claro;0.112064850513759;13500090;13500505;13500090 - 13500505;10;1;118;1;436;118;0.2706422;1.0;1;243.0;520.0;1.27;4804.89;64745880.03
354390705000004;13500380;35;SP;São Paulo;3543907;Rio Claro;0.112064850513759;13500090;13500505;13500090 - 13500505;10;3;77;1;436;109;0.1766055;0.70642202;1;243.0;520.0;1.27;4804.89;64745880.03
354390705000004;13500110;35;SP;São Paulo;3543907;Rio Claro;0.112064850513759;13500090;13500505;13500090 - 13500505;10;2;51;1;436;119;0.11697248;0.42857143;1;243.0;520.0;1.27;4804.89;64745880.03
354390705000004;13500402;35;SP;São Paulo;3543907;Rio Claro;0.112064850513759;13500090;13500505;13500090 - 13500505;10;1;51;2;436;51;0.11697248;1.0;1;243.0;520.0;1.27;4804.89;64745880.03
354390705000004;13500100;35;SP;São Paulo;3543907;Rio Claro;0.112064850513759;13500090;13500505;13500090 - 13500505;10;3;46;1;436;178;0.10550459;0.25842697;1;243.0;520.0;1.27;4804.89;64745880.03
354390705000004;13500120;35;SP;São Paulo;3543907;Rio Claro;0.112064850513759;13500090;13500505;13500090 - 13500505;10;2;38;1;436;68;0.08715596;0.55882353;1;243.0;520.0;1.27;4804.89;64745880.03
354390705000004;13500370;35;SP;São Paulo;3543907;Rio Claro;0.112064850513759;13500090;13500505;13500090 - 13500505;10;4;21;1;436;136;0.04816514;0.15441176;1;243.0;520.0;1.27;4804.89;64745880.03
354390705000004;13500090;35;SP;São Paulo;3543907;Rio Claro;0.112064850513759;13500090;13500505;13500090 - 13500505;10;3;17;1;436;73;0.03899083;0.23287671;1;243.0;520.0;1.27;4804.89;64745880.03
354390705000004;13500130;35;SP;São Paulo;3543907;Rio Claro;0.112064850513759;13500090;13500505;13500090 - 13500505;10;2;15;1;436;21;0.03440367;0.71428571;1;243.0;520.0;1.27;4804.89;64745880.03
354390705000004;13500505;35;SP;São Paulo;3543907;Rio Claro;0.112064850513759;13500090;13500505;13500090 - 13500505;10;3;2;1;436;33;0.00458716;0.06060606;1;243.0;520.0;1.27;4804.89;64745880.03
354390705000006;13500190;35;SP;São Paulo;3543907;Rio Claro;0.161551576978916;13500180;13503210;13500180 - 13503210;16;1;127;1;479;127;0.2651357;1.0;1;145.0;317.0;1.74;5490.74;36015547.55
354390705000006;13500420;35;SP;São Paulo;3543907;Rio Claro;0.161551576978916;13500180;13503210;13500180 - 13503210;16;3;75;1;479;175;0.1565762;0.42857143;1;145.0;317.0;1.74;5490.74;36015547.55
354390705000006;13500180;35;SP;São Paulo;3543907;Rio Claro;0.161551576978916;13500180;13503210;13500180 - 13503210;16;3;37;1;479;130;0.07724426;0.28461538;1;145.0;317.0;1.74;5490.74;36015547.55
354390705000006;13500410;35;SP;São Paulo;3543907;Rio Claro;0.161551576978916;13500180;13503210;13500180 - 13503210;16;3;36;1;479;89;0.07515658;0.40449438;1;145.0;317.0;1.74;5490.74;36015547.55
354390705000006;13500200;35;SP;São Paulo;3543907;Rio Claro;0.161551576978916;13500180;13503210;13500180 - 13503210;16;2;34;1;479;69;0.07098121;0.49275362;1;145.0;317.0;1.74;5490.74;36015547.55
354390705000006;13500401;35;SP;São Paulo;3543907;Rio Claro;0.161551576978916;13500180;13503210;13500180 - 13503210;16;1;34;1;479;34;0.07098121;1.0;1;145.0;317.0;1.74;5490.74;36015547.55
354390705000006;13500430;35;SP;São Paulo;3543907;Rio Claro;0.161551576978916;13500180;13503210;13500180 - 13503210;16;4;33;1;479;101;0.06889353;0.32673267;1;145.0;317.0;1.74;5490.74;36015547.55
354390705000006;13500181;35;SP;São Paulo;3543907;Rio Claro;0.161551576978916;13500180;13503210;13500180 - 13503210;16;2;25;1;479;48;0.05219207;0.52083333;1;145.0;317.0;1.74;5490.74;36015547.55
354390705000006;13500505;35;SP;São Paulo;3543907;Rio Claro;0.161551576978916;13500180;13503210;13500180 - 13503210;16;3;20;1;479;33;0.04175365;0.60606061;1;145.0;317.0;1.74;5490.74;36015547.55
354390705000006;13500440;35;SP;São Paulo;3543907;Rio Claro;0.161551576978916;13500180;13503210;13500180 - 13503210;16;4;18;1;479;122;0.03757829;0.14754098;1;145.0;317.0;1.74;5490.74;36015547.55
354390705000006;13500450;35;SP;São Paulo;3543907;Rio Claro;0.161551576978916;13500180;13503210;13500180 - 13503210;16;4;17;1;479;107;0.03549061;0.1588785;1;145.0;317.0;1.74;5490.74;36015547.55
354390705000006;13500210;35;SP;São Paulo;3543907;Rio Claro;0.161551576978916;13500180;13503210;13500180 - 13503210;16;2;7;1;479;181;0.01461378;0.03867403;1;145.0;317.0;1.74;5490.74;36015547.55
354390705000006;13500421;35;SP;São Paulo;3543907;Rio Claro;0.161551576978916;13500180;13503210;13500180 - 13503210;16;1;6;2;479;6;0.0125261;1.0;1;145.0;317.0;1.74;5490.74;36015547.55
354390705000006;13500460;35;SP;São Paulo;3543907;Rio Claro;0.161551576978916;13500180;13503210;13500180 - 13503210;16;4;4;1;479;66;0.00835073;0.06060606;1;145.0;317.0;1.74;5490.74;36015547.55
