cd_setor,cep_inicial_setor,cep_final_setor,qtd_ceps_no_setor,total_enderecos_no_setor,renda_v06004,renda_v06005
354390705000297,13501100,13501640,17,444,6774.73,24132665.69
354390705000129,13504227,13505820,16,491,2720.25,3303028.22
354390705000006,13500180,13503210,16,479,5490.74,36015547.55
354390705000103,13504300,13504643,15,442,2175.25,1836393.13
354390705000024,13500140,13500460,14,582,4081.15,13924883.94
354390705000447,13507000,13507026,14,535,3653.46,7884841.2
354390705000130,13505300,13505430,14,476,2062.81,1330883.76
354390705000471,13500030,13505552,14,460,3667.42,56052607.07
354390705000007,13500160,13506240,13,581,6180.72,50169017.38
354390705000228,13503010,13503200,13,518,4432.6,14889110.88
